"","X","contributions","between_centrality","loc","member","org"
"3088","drdelambre",2,0,"[]","False","facebook"
"3089","dreadwail",2,0,"","False","facebook"
"3090","dredozubov",1,0,"[]","False","facebook"
"3091","dreiss",649,0.000303413248825796,"Palo Alto","True","facebook"
"3092","dreixel",248,1.72658503906034e-05,"Oxford, United Kingdom","False","facebook"
"3093","drewlandis",1,0,"New Mexico","False","facebook"
"3094","drewmccormack",12,0,"[]","False","facebook"
"3095","drilibo",55,0.00185451879097881,"","True","facebook"
"3096","driquelme",1,0,"[]","False","facebook"
"3097","drochetti",1,0,"[]","False","facebook"
"3098","drodriguez",2,0.000472950949461741,"Bay Area, CA","False","facebook"
"3099","drslump",1,0,"[]","False","facebook"
"3100","dryganets",19,4.64011296024069e-05,"Mountain View","False","facebook"
"3101","ds77",5,0,"[]","False","facebook"
"3102","dsainati1",361,0.00600327117052719,"","False","facebook"
"3103","dsandmark",1,0,"[]","False","facebook"
"3104","dschafer",21,0.000696912251007774,"San Francisco","False","facebook"
"3105","dschaller",2,0.000146057701976072,"San Francisco, CA","False","facebook"
"3106","dschatzberg",15,0.000444555361125444,"New York, New York","True","facebook"
"3107","dscheg",1,0,"[]","False","facebook"
"3108","dschep",1,0,"[]","False","facebook"
"3109","dschleimer",1,0,"[]","False","facebook"
"3110","dsereni",50,8.55952910926719e-05,"","False","facebook"
"3111","dsernst",1,0,"[]","False","facebook"
"3112","dsgkirkby",1,0,"Vancouver, Canada","False","facebook"
"3113","dshatrov",1,0,"","False","facebook"
"3114","dsibiski",12,7.76608083558406e-06,"Luquillo, PR","False","facebook"
"3115","dskhudia",4,0,"","False","facebook"
"3116","dsp",2,0.000106645214331321,"","False","facebook"
"3117","dssanju",53,0,"Bangalore","False","facebook"
"3118","dstaley",1,0,"[]","False","facebook"
"3119","dstechenko",6,4.3957839203267e-06,"[]","False","facebook"
"3120","dstnbrkr",29,1.53380379821799e-05,"Mountain View, CA","True","facebook"
"3121","dsyang",96,0.000283644773827836,"","False","facebook"
"3122","dsyme",10,0,"[]","False","facebook"
"3123","dsznajder",2,0,"[]","False","facebook"
"3124","dt97",1,0,"Rourkela","False","facebook"
"3125","dterei",494,0,"[]","False","facebook"
"3126","dthpth",1,0,"","False","facebook"
"3127","dtikhonov",2,0,"[]","False","facebook"
"3128","dtinth",1,0,"Krungthepmahanakhonamonrattanakosinmahintharayutthayamahadilokphopnoppharatratchathaniburiromudomratchaniwetmahasathanamonphimanawatansathitsakkathattiyawitsanukamprasit (Bangkok), Thailand","False","facebook"
"3129","dtorres",12,0,"[]","False","facebook"
"3130","dtrofimov",1,0,"[]","False","facebook"
"3131","dturner-tw",3,0,"New York City","False","facebook"
"3132","duairc",4,0,"[]","False","facebook"
"3133","duanbouber",1,0,"[]","False","facebook"
"3134","dubovinszky",2,0,"","False","facebook"
"3135","dubzzz",8,0,"Paris, France","False","facebook"
"3136","duc0",3,0,"[]","False","facebook"
"3137","dufferzafar",1,0,"[]","False","facebook"
"3138","dugagjin",1,0,"[]","False","facebook"
"3139","dulinriley",349,0.000843914368486481,"Seattle, WA, USA","False","facebook"
"3140","duliomatos",31,3.87477394265558e-06,"Sao Paulo - Brazil","True","facebook"
"3141","dulmandakh",127,0.00413218583823439,"Ulaanbaatar, Mongolia","False","facebook"
"3142","dulmarod",571,8.35326388791849e-05,"","False","facebook"
"3143","dumistoklus",1,0,"[]","False","facebook"
"3144","dunglas",3,0,"[]","False","facebook"
"3145","dunnbobcat",10,4.78786406035726e-05,"","True","facebook"
"3146","duog",37,1.72658503906034e-05,"London, United Kingdom","False","facebook"
"3147","dusta",2,0.000618732826967479,"Gdynia, Polska","False","facebook"
"3148","dustin-H",1,0,"[]","False","facebook"
"3149","dusty-phillips",103,0,"[]","False","facebook"
"3150","duvduvfb",1,0,"[]","False","facebook"
"3151","dvdplm",2,0,"Stockholm, Sweden","False","facebook"
"3152","dwatow",1,0,"Taiwan, Tainan","False","facebook"
"3153","dweekly",1,0,"[]","False","facebook"
"3154","dwesterg",16,0,"","False","facebook"
"3155","dwightguth",7,0,"[]","False","facebook"
"3156","dwightmulcahy",1,0,"Mountain View, CA","False","facebook"
"3157","dwincort",1,0,"[]","False","facebook"
"3158","dwwoelfel",47,0.000480249414467174,"San Francisco, CA","False","facebook"
"3159","dxu",6,0,"somewhere out there","False","facebook"
"3160","dy-dx",1,0,"NYC","False","facebook"
"3161","dyesno",3,0,"[]","False","facebook"
"3162","dylanahsmith",1,0,"Ottawa, ON","False","facebook"
"3163","dylanirlbeck",1,0,"Chicago, IL","False","facebook"
"3164","dylmye",1,0,"United Kingdom","False","facebook"
"3165","dymk",41,9.14205649267643e-05,"UC San Diego","True","facebook"
"3166","dyniusz",2,0,"London, United Kingdom","True","facebook"
"3167","dyu",3,0,"Cebu, Philippines","False","facebook"
"3168","dzeban",2,0,"[]","False","facebook"
"3169","dzhulgakov",2,0,"[]","False","facebook"
"3170","dzhuowen",109,0.000229095563957741,"","False","facebook"
"3171","e98cuenc",3,0,"Málaga","False","facebook"
"3172","eXon",1,0,"Québec, QC, Canada","False","facebook"
"3173","ea167",1,0,"San Francisco","False","facebook"
"3174","eadlam",1,0,"","False","facebook"
"3175","ealeksandrov",19,0,"[]","False","facebook"
"3176","eamonnkent",45,0,"","False","facebook"
"3177","eamoses",2,0,"[]","False","facebook"
"3178","eanagel",15,0,"[]","False","facebook"
"3179","eanplatter",4,0,"[]","False","facebook"
"3180","eapache",1,0,"Ottawa, Canada","False","facebook"
"3181","earthgecko",1,0,"","False","facebook"
"3182","eastzone",4,0,"Menlo Park, CA","True","facebook"
"3183","eatonphil",1,0,"Brooklyn, NY","False","facebook"
"3184","eballetbo",49,0,"Barcelona","False","facebook"
"3185","ebernhardson",8,0,"[]","False","facebook"
"3186","ebiggers",3,0,"[]","False","facebook"
"3187","ebluestein",176,0,"[]","False","facebook"
"3188","eborden",1,0,"[]","False","facebook"
"3189","ebrahimahmadi",1,0,"[]","False","facebook"
"3190","eburke",22,0,"[]","False","facebook"
"3191","ebzlo",3,0,"Menlo Park, CA","False","facebook"
"3192","ecgreb",14,0,"[]","False","facebook"
"3193","echistyakov",9,0.000260123182697793,"Santa Barbara, CA","False","facebook"
"3194","echo304",5,0,"","False","facebook"
"3195","eclectic-coding",1,0,"[]","False","facebook"
"3196","ecreeth",40,0.00028306882676002,"República Dominicana","False","facebook"
"3197","eczarny",224,0,"[]","False","facebook"
"3198","ed-george",1,0,"Oxford, UK","False","facebook"
"3199","eddedd88",1,0,"[]","False","facebook"
"3200","eddiecailinux",18,0,"","False","facebook"
"3201","eddies",1,0,"in the space-time continuum","False","facebook"
"3202","eddyerburgh",2,0,"London","False","facebook"
"3203","edenman",12,0.00040396214914258,"","False","facebook"
"3204","edentsai",1,0,"[]","False","facebook"
"3205","edilsonalves",1,0,"[]","False","facebook"
"3206","edmondac",1,0,"[]","False","facebook"
"3207","edmund-huber",1,0,"San Francisco","False","facebook"
"3208","edno",1,0,"Copenhagen","False","facebook"
"3209","edoogie",1,0,"","False","facebook"
"3210","edormanfacebook",1,0,"","False","facebook"
"3211","edouarda",6,0,"Paris, France","False","facebook"
"3212","edsko",13,0,"[]","False","facebook"
"3213","edsrzf",10,0,"Auckland, New Zealand","False","facebook"
"3214","eduardo-elizondo",391,8.92499850718528e-05,"New York, NY","False","facebook"
"3215","eduardogch",1,0,"[]","False","facebook"
"3216","eduardopelitti",5,0,"[]","False","facebook"
"3217","edvinerikson",9,0.000197247369004696,"Sweden","False","facebook"
"3218","edwandr",1,0,"","False","facebook"
"3219","edwinsmith",1307,8.55952910926719e-05,"","False","facebook"
"3220","eed3si9n",2,0,"[]","False","facebook"
"3221","eedrah",2,0.000751924986880236,"","False","facebook"
"3222","eemeli",1,0,"Helsinki, Finland","False","facebook"
"3223","eepetrash",1,0,"[]","False","facebook"
"3224","eessex",1,0,"[]","False","facebook"
"3225","efaust",4,5.98766768272879e-05,"","True","facebook"
"3226","effaamponsah",1,0,"Accra-Ghana","False","facebook"
"3227","efirestone",1,0,"[]","False","facebook"
"3228","efrohnhoefer",2,0,"San Francisco","False","facebook"
"3229","eggzilla",1,0,"Freiburg, Germany","False","facebook"
"3230","egrim",1,0,"[]","False","facebook"
"3231","ehamberg",1,0,"[]","False","facebook"
"3232","ehellman",2,0,"[]","False","facebook"
"3233","eherot",1,0,"Boston, MA","False","facebook"
"3234","eheydrick",1,0,"Seattle, WA","False","facebook"
"3235","ehfeng",1,0,"[]","False","facebook"
"3236","ehristev",88,0,"","False","facebook"
"3237","ehsanjso",1,0,"","False","facebook"
"3238","eigengrau",2,0,"[]","False","facebook"
"3239","eigenmatt",22,0,"[]","False","facebook"
"3240","eikeon",1,0,"[]","False","facebook"
"3241","einarlove",2,0,"[]","False","facebook"
"3242","einarvalgeirsson",1,0,"[]","False","facebook"
"3243","eirslett",1,0,"Oslo","False","facebook"
"3244","eithanshavit",2,0,"San Francisco","False","facebook"
"3245","ejanzer",163,0.000774175060306087,"","False","facebook"
"3246","ejensen",15,6.20862636699147e-05,"[]","False","facebook"
"3247","ekaradon",2,0,"[]","False","facebook"
"3248","ekg",1,0,"Napoli, IT","False","facebook"
"3249","eklipse2k8",1,0,"[]","False","facebook"
"3250","ekmett",3,0,"[]","False","facebook"
"3251","ekoneil",6,0,"[]","False","facebook"
"3252","elaforge",3,0,"[]","False","facebook"
"3253","elamalani",1,0,"[]","False","facebook"
"3254","elas7",8,0,"[]","False","facebook"
"3255","eld013",1,0,"","False","facebook"
"3256","eldk",9,0,"Remote - France","False","facebook"
"3257","eleanombre",1,0,"","False","facebook"
"3258","elektrojunge",16,0,"[]","False","facebook"
"3259","elgenie",359,8.55952910926719e-05,"Palo Alto, CA, USA","True","facebook"
"3260","elie222",1,0,"[]","False","facebook"
"3261","elijahmanor",2,0,"[]","False","facebook"
"3262","eliperelman",4,0,"[]","False","facebook"
"3263","eliperkins",9,0.000155706776119973,"NYC, NY","False","facebook"
"3264","elipoz",11,0,"United States","False","facebook"
"3265","elishkov",1,0,"Isarel","False","facebook"
"3266","elitree",1,0,"[]","False","facebook"
"3267","elkablo",96,0,"","False","facebook"
"3268","ellentao",10,8.38655943730682e-05,"","False","facebook"
"3269","ellereeeee",1,0,"Richmond, VA","False","facebook"
"3270","elliottneilclark",27,0.00010022007831377,"San Francisco","True","facebook"
"3271","elliottsj",3,3.04445035460039e-05,"Toronto, ON","False","facebook"
"3272","ellishg",35,1.9473720588034e-05,"[]","False","facebook"
"3273","elludraon",2,5.87271068036476e-07,"","False","facebook"
"3274","elthariel",2,0,"Europe - France","False","facebook"
"3275","elviswolcott",4,0,"Needham, MA","False","facebook"
"3276","emaste",1,0,"[]","False","facebook"
"3277","emayanke",103,0,"menlo park","False","facebook"
"3278","emersonlaurentino",1,0,"[]","False","facebook"
"3279","emilioicai",7,0,"Barcelona","False","facebook"
"3280","emilpalsson",1,0,"[]","False","facebook"
"3281","emilsjolander",1590,0.000887113272206768,"London, England","False","facebook"
"3282","emilymcmahon",1,0,"Seattle","False","facebook"
"3283","emiraga",8,4.16271134094792e-05,"[]","False","facebook"
"3284","emma0303",216,2.40963554271671e-05,"","False","facebook"
"3285","emmadal",1,0,"[]","False","facebook"
"3286","emmanix2002",1,0,"Lagos, Nigeria","False","facebook"
"3287","emmenko",9,1.11678165270429e-05,"Munich","False","facebook"
"3288","emmenlau",1,0,"[]","False","facebook"
"3289","emmnm",21,0,"[]","False","facebook"
"3290","emonty",4,0,"[]","False","facebook"
"3291","empyrical",77,0.000853196351738423,"","False","facebook"
"3292","emroch",27,0,"[]","False","facebook"
"3293","emshuttles",1,0,"[]","False","facebook"
"3294","enagorny",1,0,"[]","False","facebook"
"3295","enaqx",9,5.79979698875755e-05,"","False","facebook"
"3296","endiliey",645,0.00222987765954871,"Indonesia","False","facebook"
"3297","ened",1,0,"Caerphilly, Wales","False","facebook"
"3298","enferex",3,0,"[]","False","facebook"
"3299","enguerran",3,0.000161208942380417,"[]","False","facebook"
"3300","engz",2,0,"[]","False","facebook"
"3301","enisdenjo",1,0,"Vienna","False","facebook"
"3302","enolan",1,0,"[]","False","facebook"
"3303","enriquez",28,0,"Cleveland, OH","False","facebook"
"3304","epabst",2,0,"[]","False","facebook"
"3305","epatenaude",1,0,"","False","facebook"
"3306","epcorona",6,0,"","False","facebook"
"3307","eperedo",1,0,"[]","False","facebook"
"3308","ephiepark",23,0,"[]","False","facebook"
"3309","epicfaace",2,0,"[]","False","facebook"
"3310","epilatow",6,2.30003575984964e-05,"San Carlos, CA","False","facebook"
"3311","epkugelmass",1,0,"[]","False","facebook"
"3312","epologee",35,0,"Amsterdam","False","facebook"
"3313","epoyraz",1,0,"[]","False","facebook"
"3314","eps1lon",18,0,"[]","False","facebook"
"3315","equinusocio",1,0,"Monza","False","facebook"
"3316","eransharv",1,0,"","False","facebook"
"3317","erawhctim",1,0,"Atlanta, Georgia","False","facebook"
"3318","eray-aydin",2,1.71526425151694e-05,"","False","facebook"
"3319","erd",495,0,"[]","False","facebook"
"3320","erdeszt",4,0,"[]","False","facebook"
"3321","ereli",1,0,"[]","False","facebook"
"3322","erenulas",1,0,"Istanbul / Turkey","False","facebook"
"3323","ergunsh",2,0,"[]","False","facebook"
"3324","eric-famiglietti",1,0,"[]","False","facebook"
"3325","eric-hc",1,0,"Raleigh, NC","False","facebook"
"3326","ericat",1,0,"London","False","facebook"
"3327","ericbiewener",2,0,"[]","False","facebook"
"3328","ericbuss",2,0,"San Diego","False","facebook"
"3329","ericcfu",1,0,"Chicago, IL","False","facebook"
"3330","ericclemmons",4,0,"Seattle, Washington","False","facebook"
"3331","ericf",1,0,"[]","False","facebook"
"3332","ericflo",2,0,"[]","False","facebook"
"3333","erichaugh",27,0,"[]","False","facebook"
"3334","erichoracek",38,0,"San Francisco","False","facebook"
"3335","ericlewis",51,0,"Atlanta, Georgia","False","facebook"
"3336","ericlippert",559,8.55952910926719e-05,"Seattle, WA, USA","False","facebook"
"3337","ericmasiello",2,0,"Silver Spring, MD","False","facebook"
"3338","ericnakagawa",101,0.0010152093142418,"San Francisco, Honolulu, Tokyo","True","facebook"
"3339","ericnelsonaz",148,0,"Phoenix, AZ","False","facebook"
"3340","ericniebler",31,0,"[]","False","facebook"
"3341","ericschlanger",3,6.70087363443291e-05,"New York City","False","facebook"
"3342","ericsung",2,0,"[]","False","facebook"
"3343","ericvicenti",176,0.000326464038237507,"Santa Monica, CA","False","facebook"
"3344","erikandre",51,0,"London","False","facebook"
"3345","erikd",134,0,"[]","False","facebook"
"3346","erikng",19,2.01295109843828e-05,"","False","facebook"
"3347","eriktaubeneck",1,0,"Brooklyn, NY","True","facebook"
"3348","erikwebb",1,0,"[]","False","facebook"
"3349","eritikass",2,0,"","False","facebook"
"3350","eriveltonelias",1,0,"[]","False","facebook"
"3351","eromanc",6,0,"[]","False","facebook"
"3352","erosca",43,0,"Hildesheim","False","facebook"
"3353","errge",2,0,"[]","False","facebook"
"3354","errorhandler",1,0,"Auckland, New Zealand","False","facebook"
"3355","erubi",1,0,"","False","facebook"
"3356","esafirm",2,2.40561034358493e-05,"Bandung, Indonesia","False","facebook"
"3357","esam091",7,0.000858578133291001,"[]","False","facebook"
"3358","esamelson",4,0,"CA, USA","False","facebook"
"3359","esauter5",4,0,"Baltimore","False","facebook"
"3360","esbenp",1,0,"[]","False","facebook"
"3361","esbullington",2,0,"Columbia, SC","False","facebook"
"3362","escalona",1,0,"[]","False","facebook"
"3363","espipj",8,0,"[]","False","facebook"
"3364","esthor",1,0,"[]","False","facebook"
"3365","estsauver",2,0.000113529148796391,"San Francisco","False","facebook"
"3366","esttorhe",15,0,"[]","False","facebook"
"3367","esturcke",1,0,"[]","False","facebook"
"3368","esusekov",1,0,"Moscow","False","facebook"
"3369","esvyridov",1,0,"[]","False","facebook"
"3370","etcinit",1,0,"San Francisco, CA","True","facebook"
"3371","ethercrow",5,0,"[]","False","facebook"
"3372","ethers",1,0,"[]","False","facebook"
"3373","etosch",1,0,"Burlington, VT","False","facebook"
"3374","etrepum",3,0.00823709371641292,"[]","False","facebook"
"3375","eugeneoden",1,0,"San Francisco, CA","True","facebook"
"3376","evadot",16,0,"France","False","facebook"
"3377","evankennedy",1,0,"[]","False","facebook"
"3378","evansolomon",1,0,"San Francsico","False","facebook"
"3379","evant",1,0,"Virginia","False","facebook"
"3380","evanwong",5,3.87477394265558e-06,"","False","facebook"
"3381","evax",3,0,"[]","False","facebook"
"3382","evcohen",1,0,"[]","False","facebook"
"3383","eveliotc",10,4.09885448971754e-05,"Menlo Park, CA","False","facebook"
"3384","evenmed",1,0,"[]","False","facebook"
"3385","evenstensberg",1,0,"Norway","False","facebook"
"3386","eventualbuddha",4,7.64353077070795e-05,"San Francisco","False","facebook"
"3387","everdimension",4,0.000108905140125909,"","False","facebook"
"3388","everett1992",1,0,"","False","facebook"
"3389","everton-rosario",319,0,"[]","False","facebook"
"3390","evgenykuzyakov",1,0,"[]","False","facebook"
"3391","evilchuck",2,0,"[]","False","facebook"
"3392","evilmucedin",13,4.3957839203267e-06,"[]","False","facebook"
"3393","evverx",3,0.000556707446386184,"[]","False","facebook"
"3394","ewoutp",1,0,"The Netherlands","False","facebook"
"3395","exced",21,0.000372551149506674,"Montreal","False","facebook"
"3396","excitement-engineer",9,0.000128835544184629,"Netherlands","False","facebook"
"3397","exhaustin",1,0,"","False","facebook"
"3398","exiadbq",2,0,"[]","False","facebook"
"3399","existentialism",12,0.000647705263797028,"Houston, TX","False","facebook"
"3400","eytan",227,0.000119985715580991,"San Francisco, CA","True","facebook"
"3401","ezgicicek",348,0.00033334907675036,"","True","facebook"
"3402","ezyang",694,1.72658503906034e-05,"New York, NY","False","facebook"
"3403","fabiocaccamo",18,0,"[]","False","facebook"
"3404","fabioestevam",179,0,"","False","facebook"
"3405","fabiomcosta",22,0.000782999922318667,"Newark, California","False","facebook"
"3406","fabiopelosin",665,0.00411216461320215,"","False","facebook"
"3407","fabriziocucci",3,0.000753085320915966,"Dublin","True","facebook"
"3408","facebook-github-bot",92,0.0185260184159255,"Menlo Park, California","True","facebook"
"3409","facundominguez",34,0,"[]","False","facebook"
"3410","fadils",1,0,"Jakarta","False","facebook"
"3411","fadimounir",1,0,"[]","False","facebook"
"3412","faffas",1,0,"","False","facebook"
"3413","fahadqazi",1,0,"London, UK","False","facebook"
"3414","fahndrich",271,0.000371402164612867,"","False","facebook"
"3415","fakela",2,0,"Portharcourt","False","facebook"
"3416","falcompro",3,0,"[]","False","facebook"
"3417","falinsky",1,0,"Kyiv","False","facebook"
"3418","fanatid",1,0,"[]","False","facebook"
"3419","fangyi-zhou",36,0.0041975892387931,"[]","False","facebook"
"3420","fanny",33,0.000257424599038376,"São Paulo, Brazil.","True","facebook"
"3421","fantazic76",2,0,"[]","False","facebook"
"3422","fanzeyi",225,9.73721843713711e-05,"San Francisco Bay Area","False","facebook"
"3423","farcepest",73,0,"[]","False","facebook"
"3424","farhanpatel",2,0,"[]","False","facebook"
"3425","farnz",1,0,"","False","facebook"
"3426","farski",21,0,"[]","False","facebook"
"3427","farzonl",1,0,"Atlanta, GA","False","facebook"
"3428","fascpt",1,0,"","False","facebook"
"3429","fasouto",1,0,"Vigo","False","facebook"
"3430","fastred",20,0.000205739507317515,"Warsaw, Poland","False","facebook"
"3431","fatalsun",9,3.24970736183786e-05,"","False","facebook"
"3432","fatman-",1,0,"[]","False","facebook"
"3433","fauust",2,0,"","False","facebook"
"3434","fbrosson",2,0,"[]","False","facebook"
"3435","fbtaoge",16,4.29169643459881e-05,"","False","facebook"
"3436","fbwut",5,0.000219931672065386,"","False","facebook"
"3437","fbxidong",2,0,"[]","False","facebook"
"3438","fcanas",29,0,"☉","False","facebook"
"3439","fcangialosi",2,0,"[]","False","facebook"
"3440","fceller",1,0,"Cologne","False","facebook"
"3441","fcooper",53,0,"","False","facebook"
"3442","fczuardi",1,0,"[]","False","facebook"
"3443","fdaciuk",1,0,"Somewhere","False","facebook"
"3444","fdiaz",1,0,"[]","False","facebook"
"3445","feargswalsh92",1,0,"[]","False","facebook"
"3446","fedotov",1,0,"","False","facebook"
"3447","fedulity",1,0,"","False","facebook"
"3448","felicianotech",1,0,"New York City, NY, USA","False","facebook"
"3449","felipecrs",1,0,"Brazil","False","facebook"
"3450","felipecsl",6,0,"[]","False","facebook"
"3451","felipepastorelima",2,0,"Curitiba - PR - Brasil","False","facebook"
"3452","felippepuhle",2,0,"","False","facebook"
"3453","felix8888",1,0,"[]","False","facebook"
"3454","felixclack",1,0,"[]","False","facebook"
"3455","felixhandte",500,0.000979807089681298,"New York. NY","False","facebook"
"3456","felixonmars",7,0,"Wuhan, Hubei, China","False","facebook"
"3457","felly",11,0,"[]","False","facebook"
"3458","fenec",1,0,"[]","False","facebook"
"3459","fer662",21,0,"[]","False","facebook"
"3460","ferglezt",1,0,"Mexico","False","facebook"
"3461","ferrannp",2,0,"Europe","False","facebook"
"3462","feuerbach",3,0,"Ukraine","False","facebook"
"3463","fevrisn",1,0,"","False","facebook"
"3464","fezhengjin",1,0,"[]","False","facebook"
"3465","ffledgling",1,0,"[]","False","facebook"
"3466","ffloraxiaofb",1,0,"","False","facebook"
"3467","ffontaine",2,0.000339271056111015,"","False","facebook"
"3468","fforw",2,0,"[]","False","facebook"
"3469","ffxsam",1,0,"[]","False","facebook"
"3470","fgasperij",26,0,"","False","facebook"
"3471","fgengine",29,0,"","False","facebook"
"3472","fghaas",1,0,"[]","False","facebook"
"3473","fgnass",3,0,"[]","False","facebook"
"3474","fgwu",13,0,"Minneapolis, MN, USA","False","facebook"
"3475","fhalde",1,0,"Pune","False","facebook"
"3476","fhammerschmidt",1,0,"[]","False","facebook"
"3477","fhd",2,0,"[]","False","facebook"
"3478","fictorial",16,0,"[]","False","facebook"
"3479","fiddep",1,0,"[]","False","facebook"
"3480","fiennyangeln",7,0,"Singapore","False","facebook"
"3481","fil090302",2,0,"","False","facebook"
"3482","filbranden",4,1.37583164161292e-05,"Greater Seattle Area","False","facebook"
"3483","filipallberg",1,0,"[]","False","facebook"
"3484","filipdanic",1,0,"Belgrade, Serbia","False","facebook"
"3485","filippog",2,5.61927560759424e-05,"Intartubes","False","facebook"
"3486","filipstefansson",1,0,"London","False","facebook"
"3487","filiptdz",3,0,"[]","False","facebook"
"3488","fim",1,0,"[]","False","facebook"
"3489","finthamoussu",2,0,"[]","False","facebook"
"3490","fiorix",6,0.00011524587875186,"London, UK","True","facebook"
"3491","fiower",5,0,"[]","False","facebook"
"3492","fish2000",1,0,"[]","False","facebook"
"3493","fisherwebdev",116,6.54688309388953e-05,"[]","False","facebook"
"3494","fizzxed",3,0,"","True","facebook"
"3495","fjoshuajr",1,0,"[]","False","facebook"
"3496","fjricci",2,0,"[]","False","facebook"
"3497","fkgozali",359,0.000198634625884563,"","False","facebook"
"3498","fkling",213,0.000800209628035154,"","False","facebook"
"3499","fkorotkov",2,0,"New York","False","facebook"
"3500","flabby",2,0,"Beijing","False","facebook"
"3501","flamefire333",9,0,"","False","facebook"
"3502","flarnie",232,0.03049190053963,"Oakland, CA","False","facebook"
"3503","flipside",1,0,"San Francisco","False","facebook"
"3504","floriangosse",1,0,"[]","False","facebook"
"3505","floscha",1,0,"Bern","False","facebook"
"3506","flovilmart",1,0,"Montreal, QC, Canada","False","facebook"
"3507","flozender",5,0,"Hyderabad, India","False","facebook"
"3508","flz",1,0,"[]","False","facebook"
"3509","fmahnke",1,0,"Phoenix AZ","False","facebook"
"3510","fmanco",2,3.14048824032065e-05,"London, UK","False","facebook"
"3511","fmnxl",1,0,"[]","False","facebook"
"3512","fmoo",13,0.000136057337540836,"San Mateo, CA","False","facebook"
"3513","foghina",222,0.000381095927191959,"","False","facebook"
"3514","forcha",1,0,"Barcelona","False","facebook"
"3515","forresst",1,0,"[]","False","facebook"
"3516","forsen",2,0,"[]","False","facebook"
"3517","fortes",2,0.000172696876883072,"Sarasota, FL","False","facebook"
"3518","fotolesny",1,0,"","False","facebook"
"3519","fourlastor",2,0,"[]","False","facebook"
"3520","foxik",5,0,"[]","False","facebook"
"3521","fpg1503",1,0,"[]","False","facebook"
"3522","fpiccinini",1,0,"US","True","facebook"
"3523","fpotter",459,0,"Seattle, WA","False","facebook"
"3524","fpoumian",2,0,"[]","False","facebook"
"3525","fr0l",9,0,"[]","False","facebook"
"3526","francesco-zappa-nardelli",11,0,"[]","False","facebook"
"3527","francip",1,0,"Kirkland, WA","True","facebook"
"3528","francis-ma",22,6.91218928695667e-05,"[]","False","facebook"
"3529","francisfuzz",1,0,"California","False","facebook"
"3530","francisu",1,0,"[]","False","facebook"
"3531","francocorreasosa",1,0,"Montevideo, Uruguay","False","facebook"
"3532","francois",1,0,"Sherbrooke, QC, Canada","False","facebook"
"3533","francoischalifour",3,0,"Paris, France","False","facebook"
"3534","frank-emrich",33,0,"[]","False","facebook"
"3535","fransanchez",2,0,"","False","facebook"
"3536","frantic",325,0.00586322112878571,"Seattle, WA","True","facebook"
"3537","franz-fb",3,0,"","False","facebook"
"3538","franzks",8,1.34430329250734e-05,"London, UK","False","facebook"
"3539","frazerclement",570,0.000102832630436096,"","False","facebook"
"3540","freakboy3742",6,0,"[]","False","facebook"
"3541","fred2028",47,9.3498519722716e-05,"Menlo Park","True","facebook"
"3542","fredefox",1,0,"[]","False","facebook"
"3543","fredemmott",1030,0.000731004376107701,"Austin, TX","False","facebook"
"3544","fredyr",1,0,"","False","facebook"
"3545","freebroccolo",15,0,"","False","facebook"
"3546","frehner",1,0,"[]","False","facebook"
"3547","freiksenet",2,0,"Helsinki, Finland","False","facebook"
"3548","frett",7,0,"[]","False","facebook"
"3549","frewsxcv",2,0,"[]","False","facebook"
"3550","fried",275,0.00600323239654332,"Hayward, CA","True","facebook"
"3551","friederbluemle",49,0.00141088741637476,"Santa Clara, CA","False","facebook"
"3552","friesenjd",4,0,"","True","facebook"
"3553","friscoMad",1,0,"[]","False","facebook"
"3554","fromcelticpark",76,0.000437481646435441,"","False","facebook"
"3555","frontsideair",4,0.000177270128940093,"[]","False","facebook"
"3556","frostney",2,0.00012210890864028,"London, England","False","facebook"
"3557","froxCZ",1,0,"","False","facebook"
"3558","fryguybob",2,0,"[]","False","facebook"
"3559","fryn",1,0,"[]","False","facebook"
"3560","fschindler",1,0,"","False","facebook"
"3561","fsl-liugang",29,0,"","False","facebook"
"3562","fson",73,0.00207855079090588,"Espoo, Finland","False","facebook"
"3563","fterh",1,0,"Singapore","True","facebook"
"3564","ftimyo",9,0,"","False","facebook"
"3565","ftonato",1,0,"Lisbon, Portugal","False","facebook"
"3566","fugalh",143,0.000319979751993729,"Santa Clara, CA","True","facebook"
"3567","fumieval",3,0,"[]","False","facebook"
"3568","fumoboy007",1,0,"[]","False","facebook"
"3569","funny9527",1,0,"[]","False","facebook"
"3570","fuzzball5000",4,0,"UK","False","facebook"
"3571","fvonhoven",2,1.35481340175945e-05,"New Orleans, LA","False","facebook"
"3572","fweimer",1,0,"[]","False","facebook"
"3573","fxfactorial",1,0,"San Francisco, CA / Yerevan, Armenia","False","facebook"
"3574","fxrb",19,0,"Switzerland","False","facebook"
"3575","fxxkscript",10,0,"[]","False","facebook"
"3576","fxzhang",2,0,"Menlo Park, California, USA","False","facebook"
"3577","fylux",6,0,"Spain","False","facebook"
"3578","fyquah95",1,0,"","False","facebook"
"3579","fyrz",179,0,"Germany","False","facebook"
"3580","fyunaz",3,0,"","False","facebook"
"3581","g233007",1,0,"","False","facebook"
"3582","g3r4n",1,0,"Paris, France","False","facebook"
"3583","gabelevi",1467,0.00432977975259785,"New York, NY, USA","True","facebook"
"3584","gabijs",2,0,"Boston, MA","True","facebook"
"3585","gaborvass",1,0,"[]","False","facebook"
